Claim,Label
Our product is 100% natural and eco-friendly committed to the planet,1
We are committed to a greener future with every product we create,1
Eco-friendly formula that cares for nature and future generations,1
Our sustainable range is gentle on the earth and environment,1
We care deeply about the environment with our green products,1
Natural ingredients sourced responsibly for planet protection,1
Green formula that is safe for you and safe for the earth,1
Environmentally friendly product made with love for the planet,1
Our eco-conscious brand is dedicated to sustainable living,1
We believe in protecting the environment with natural products,1
Pure and natural formula gentle on skin and gentle on earth,1
Sustainable packaging that reflects our care for the environment,1
We support a healthy planet for future generations with our products,1
Eco-safe and nature-friendly product for conscious consumers,1
Our green initiative helps protect the planet every single day,1
We are proud to be an eco-friendly and responsible company,1
Nature-inspired formula that supports a cleaner greener world,1
Our commitment to sustainability drives everything we do daily,1
Helping the planet one product at a time with our green range,1
Responsible sourcing from nature-friendly farms for better world,1
Our eco formula is good for you and good for the planet naturally,1
We are an environmentally conscious company that puts planet first,1
Green and clean formula made responsibly with care for natural world,1
Sustainably made product that helps protect nature with every purchase,1
We love the planet and our eco range shows dedication to green living,1
Our natural formula is kind to you and kind to the environment,1
Eco-proud brand committed to environmental stewardship every day,1
We strive to protect the earth with our green responsible product range,1
Nature first approach to business helping create a greener world,1
Our sustainable ethos guides our eco-conscious product development,1
We reduced carbon emissions by 35 percent between 2021 and 2023 verified by ISO 14064,0
Our packaging is made from 90 percent post-consumer recycled material certified by FSC,0
Carbon emissions reduced by 38 percent verified annually by Bureau Veritas,0
We achieved zero landfill waste across all 12 manufacturing sites in 2022 TRUE certified,0
Water consumption reduced by 40 percent per unit produced since 2020 tracked via EPA,0
Our factories run on 100 percent renewable energy certified by RE100 initiative since 2021,0
We planted 2 million trees in 2023 through partnership with Arbor Day Foundation GPS verified,0
Product contains 85 percent plant-based ingredients certified by USDA BioPreferred program,0
Scope 1 and 2 emissions reduced by 50 percent since 2018 baseline GHG Protocol verified,0
Detergent formula is 98 percent biodegradable within 72 hours tested per ISO 14593 standard,0
We reduced plastic packaging weight by 35 percent across range between 2020 and 2023,0
Our clothing uses 65 percent less water than conventional production verified by SGS 2022,0
Zero parabens confirmed by independent lab testing at Intertek 2023,0
We signed Science Based Targets initiative in 2021 committing to 1.5 degree aligned reductions,0
Circular economy program recovered and reused 70 percent of product materials in 2023,0
We achieved 100 percent renewable electricity across European operations in 2022 RE100 verified,0
We reduced textile waste by 31 percent in 2023 verified by SGS auditing independently,0
Packaging carbon footprint reduced by 45 percent since 2019 measured per unit Carbon Trust,0
We achieved B Corp certification in 2022 with environmental score of 87 out of 200,0
Freshwater withdrawal reduced by 45 percent per tonne since 2015 baseline CDP reported,0
We invested 50 million dollars in renewable energy infrastructure between 2020 and 2023,0
Our annual sustainability report is audited by Deloitte and publicly available since 2019,0
We achieved ISO 14001 certification across all 8 global manufacturing facilities in 2021,0
Employee environmental training program reached 95 percent of global workforce in 2022,0
Our take-back program collected 3.2 million units for responsible recycling in 2023,0
We use 100 percent recycled aluminum in cans saving 800 tonnes of virgin metal annually,0
Our factory switched to solar power in 2022 reducing electricity emissions by 60 percent,0
Carbon neutral operations since 2021 verified by Gold Standard third party annual audit,0
Our supply chain emissions reduced by 22 percent through supplier engagement since 2019,0
We are going green and reducing our footprint every year across all operations,1
Our products are made sustainably with care for the planet and natural environment,1
We have always believed in eco-friendly practices and responsible manufacturing,1
Our brand is committed to environmental responsibility and green business values,1
We use natural and responsible ingredients to protect the planet we all share,1
Eco certified and planet friendly product made with sustainable natural ingredients,1
We care about reducing our environmental impact and protecting earth for future,1
Our green packaging shows our love for nature and commitment to sustainability,1
We are dedicated to clean and natural production methods that respect the earth,1
Every product we make is designed with sustainability and environmental care in mind,1
We follow green guidelines and environmentally responsible practices in production,1
Our brand values sustainability and uses only eco-conscious and natural materials,1
We work hard to minimize environmental harm through our green product range,1
Our products are eco-designed to reduce waste and protect the natural world,1
We use plant-based ingredients that are kind to skin and kind to the environment,1
Our green certified formula is safe for your family and gentle on the earth,1
We support environmental charities and plant trees with every purchase you make,1
Our eco line is designed to leave the smallest possible footprint on the earth,1
We have reduced our packaging slightly and continue to improve sustainability yearly,1
Our products are made with naturally derived ingredients and green chemistry principles,1
We recycle some of our waste and are working towards better sustainability goals,1
Our manufacturing process is more eco-friendly than it was a few years ago,1
We source ingredients from farms that use sustainable and responsible farming methods,1
Our bottles are partially made from recycled materials to reduce environmental impact,1
We follow environmental regulations and aim to go beyond compliance in our operations,1
Our green team works every day to find ways to reduce emissions and waste overall,1
We partner with environmental organizations to support conservation and sustainability,1
We use biodegradable materials where possible and continue improving our green record,1
Our products are free from certain harmful chemicals making them better for environment,1
We publish a sustainability report showing our progress toward environmental goals,1
We reduced carbon emissions by 8 percent last year through various initiatives,0
Our packaging uses 20 percent recycled content increased from 15 percent in 2021,0
We achieved ISO 14001 environmental management certification at our main facility,0
Our water use decreased by 12 percent per unit produced compared to previous year,0
We have diverted 60 percent of manufacturing waste from landfill since 2020,0
Our energy intensity dropped by 15 percent per unit between 2020 and 2023,0
We source 40 percent of our electricity from renewable sources verified by energy auditor,0
Our supplier environmental assessment covers 70 percent of direct suppliers annually,0
We reduced single use plastic by 30 percent in our product packaging since 2021,0
Our product biodegrades within 6 months under standard composting conditions tested externally,0
We offset 5000 tonnes of CO2 annually through verified Gold Standard carbon projects,0
Our chemical reduction program eliminated 8 restricted substances from products since 2019,0
We achieved a 25 percent reduction in Scope 1 emissions at our largest facility in 2022,0
Our logistics optimization reduced transport emissions by 18 percent per delivery since 2020,0
We increased use of recycled raw materials to 35 percent of total inputs in 2023,0
We reduced our carbon footprint by 20 percent through our green program this year,1
Our products use 30 percent less plastic than before thanks to eco initiatives,1
We have cut water usage by 15 percent through our sustainability drive,1
Our packaging now contains some recycled content as part of green commitment,1
We target zero waste by 2030 through our ambitious sustainability roadmap,1
Our products are designed to be more eco-friendly than our previous range,1
We have started using renewable energy in some of our facilities this year,1
Our green pledge commits us to reducing emissions by a significant amount,1
We are working toward more sustainable sourcing across our supply chain,1
Our environmental policy aims to reduce our overall carbon footprint yearly,1
Our eco-friendly packaging reduced plastic waste by 25 percent in 2022,0
We use natural plant-based ingredients certified by USDA Organic program,0
Our green formula is 85 percent biodegradable tested per standard methods,0
We achieved sustainable certification for our eco-friendly product range 2022,0
Our natural ingredients sourced from 40 Rainforest Alliance certified farms,0
We reduced eco impact by 30 percent verified through third party environmental audit,0
Our green manufacturing achieved ISO 14001 standard at 5 facilities in 2021,0
We use 60 percent natural renewable raw materials verified by independent auditor,0
Our eco-friendly product line achieved carbon neutral status verified 2022,0
We source 75 percent of ingredients sustainably certified by recognized bodies,0
Contains parabens sodium lauryl sulfate synthetic fragrance petroleum derivatives artificial dyes,1
Ingredients include formaldehyde releasing preservatives phthalates triclosan artificial colors,1
Formula contains methylparaben propylparaben butylparaben SLS SLES petrochemical solvents,1
Product contains BPA bisphenol synthetic musks coal tar dyes oxybenzone toxic preservatives,1
Ingredients list parabens sulfates silicones petroleum jelly artificial fragrance harsh chemicals,1
Contains sodium laureth sulfate cocamide DEA diethanolamine artificial preservatives synthetic dyes,1
Formula uses microplastics polyethylene PEG compounds synthetic surfactants harsh detergents,1
Ingredients include triclocarban ethanolamines chlorine bleach phosphates artificial brighteners,1
Contains quaternary ammonium compounds QUATS formaldehyde donors synthetic colors perfumes,1
Product formula includes talc asbestos contamination risk aluminum compounds parabens,1
Our eco shampoo contains parabens and SLS but we call it natural and green certified,1
Green label product with petroleum jelly mineral oil synthetic fragrance phthalates inside,1
Natural claimed product containing methylparaben propylparaben phenoxyethanol synthetic colors,1
Our organic face cream contains oxybenzone octinoxate reef harming chemicals inside formula,1
Eco friendly detergent uses phosphates chlorine bleach artificial enzymes non biodegradable surfactants,1
Ingredients aloe vera organic chamomile rose water certified organic jojoba oil plant-based,0
Formula contains certified organic lavender essential oil shea butter vitamin E natural tocopherol,0
Ingredients include USDA certified organic coconut oil argan oil aloe barbadensis leaf juice,0
Our shampoo uses plant-derived surfactants from coconut certified biodegradable 100 percent,0
Formula ingredients are 95 percent certified organic by COSMOS standard including rosehip oil,0
Contains only natural preservatives like rosemary extract vitamin C benzyl alcohol plant origin,0
Our ingredients list includes beeswax certified organic honey propolis sustainably sourced bee products,0
Plant-based formula uses saponified coconut oil olive oil hemp seed oil certified organic,0
Ingredients include green tea extract certified organic turmeric curcumin plant squalane natural,0
Our moisturizer uses certified organic argan oil marula oil neroli essential oil plant-based,0
Formula contains colloidal oatmeal certified organic calendula chamomile extract plant emollients,0
Ingredients are 100 percent natural and biodegradable certified by EWG verified standard 2023,0
Contains certified fair trade shea butter mango butter cocoa butter plant-derived emulsifiers,0
Our sunscreen uses zinc oxide non-nano certified reef safe by independent laboratory testing 2023,0
Formula uses only GOTS certified organic cotton seed oil and plant-based preservative system,0
Natural shampoo contains parabens SLS despite eco label claims unverified green marketing,1
Organic moisturizer uses petroleum jelly mineral oil synthetic fragrance listed as natural product,1
Green cleaning product contains chlorine bleach phosphates artificial dyes labeled eco friendly,1
Natural baby wash contains methylparaben propylparaben called pure and safe for babies,1
Eco dishwasher pod contains cocamide DEA diethanolamine synthetic brighteners called green,1
Certified organic cream uses synthetic preservative phenoxyethanol artificial fragrance phthalates,1
Our natural deodorant contains aluminum chlorohydrate synthetic fragrance parabens harmful chemicals,1
Green body wash contains sodium lauryl sulfate PEG compounds artificial dyes synthetic perfume,1
Eco laundry liquid uses optical brighteners synthetic enzymes petroleum surfactants artificial fragrance,1
Natural face wash contains formaldehyde releasing preservatives DMDM hydantoin synthetic colors,1
Ingredients include certified organic sunflower oil USDA certified shea butter plant emulsifiers natural,0
Formula uses fair trade certified cocoa butter certified organic coconut milk plant-based,0
Our cleanser contains plant-derived glucosides certified biodegradable surfactants from sugar cane,0
Ingredients include certified organic rosehip oil sea buckthorn certified natural vitamin E,0
Formula contains 98 percent natural origin ingredients certified by ISO 16128 standard 2023,0
Our conditioner uses certified organic baobab oil marula oil COSMOS certified plant proteins,0
Ingredients list includes sustainably sourced beeswax certified organic essential oils natural waxes,0
Formula uses plant-based hyaluronic acid certified vegan fermented ingredients COSMOS verified,0
Our serum contains certified organic bakuchiol plant-based retinol alternative USDA certified,0
Ingredients include cold pressed certified organic hemp seed oil plant-based ceramides natural,0
We cut emissions by 50 percent this year through our passionate green journey,1
Our products are 100 percent natural and planet-friendly with no nasty chemicals,1
We reduced waste by 40 percent thanks to our eco-conscious production methods,1
Our green formula uses 80 percent fewer harmful chemicals for a better earth,1
We have achieved a 30 percent reduction in our carbon footprint through green love,1
Our sustainable range reduced water use by 20 percent through our earth-first mission,1
We use 70 percent plant-based ingredients in our eco and nature-friendly formula,1
Our packaging is 60 percent lighter helping reduce environmental impact naturally,1
We cut plastic use by 50 percent through our green and caring sustainability pledge,1
Our eco shampoo reduced chemical load by 45 percent for a cleaner greener world,1
We are committed to zero emissions by 2040 through our ambitious green roadmap,1
Our natural range uses 90 percent fewer synthetics for a pure planet-friendly formula,1
We reduced our environmental footprint by 35 percent through dedicated green practices,1
Our formula is made with 85 percent naturally derived ingredients for cleaner earth,1
We saved 1 million litres of water through our eco and sustainable production drive,1
Our packaging contains 50 percent less plastic as part of our green earth commitment,1
We improved eco score by 25 percent through our caring and responsible green mission,1
Our products use 65 percent less energy to produce thanks to sustainable green values,1
We reduced synthetic ingredients by 40 percent in our natural and eco-friendly range,1
Our green pledge saved 500 tonnes of waste through our passionate environmental mission,1
Our COSMOS certified formula is free from all synthetic preservatives and colorants,0
Verified by Bureau Veritas as carbon neutral across all global operations annually,0
FSC certified packaging confirmed by third-party environmental audit independently,0
USDA Organic certified ingredients sourced from verified supplier network sustainably,0
Independently audited by SGS to confirm zero restricted substances in final product,0
Rainforest Alliance verified supply chain covering all primary agricultural ingredients,0
ISO 14064 verified greenhouse gas inventory published in annual sustainability report,0
B Corp certified since 2020 with supply chain and environmental impact independently scored,0
GOTS certified organic cotton used across full clothing range verified by accredited body,0
Oeko-Tex Standard 100 certified confirming no harmful substances in finished textile product,0
EWG verified formula meeting strict criteria for ingredient safety and transparency standards,0
Carbon Trust certified carbon footprint label on every product independently verified annually,0
Leaping Bunny certified cruelty-free with supply chain audits conducted by accredited body,0
1 percent for the Planet member donating verified portion of revenue to environmental nonprofits,0
Science Based Targets initiative approved emissions reduction plan aligned to 1.5 degree pathway,0
RE100 member with 100 percent renewable electricity commitment verified across all facilities,0
GHG Protocol Scope 3 emissions inventory independently verified and published in annual report,0
Ecocert certified organic cosmetic formula meeting strict natural and organic ingredient criteria,0
True Zero Waste certification achieved at main manufacturing facility independently audited,0
Carbon Disclosure Project A-list company for climate transparency and verified emissions data,0
We care about the planet and our green range reflects our deep environmental commitment,1
Our eco products are made with love for nature using responsible and pure ingredients,1
Sustainability is at the heart of everything we do in our green and conscious brand,1
We are proud to create natural products that protect our beautiful earth every day,1
Our planet-first approach guides every decision in our eco-friendly product development,1
We believe clean and green products are the future and we are committed to that vision,1
Our responsible formula is kind to you and kind to the world we all share together,1
We support a greener future by making products that are gentle on the natural world,1
Our eco-conscious team works every day to reduce harm and protect the environment,1
We aspire to be the most sustainable brand through our green and caring mission,1
Our natural range is crafted with deep respect for the earth and all living things,1
We are on a journey toward zero impact through our committed and passionate green ethos,1
Our sustainable products help consumers make greener choices for a healthier planet,1
We use only the purest natural ingredients because we love the earth we live on,1
Our green promise means every product is designed to minimize environmental harm,1
We are dedicated to reducing our ecological impact through our eco-friendly practices,1
Our planet-friendly formula shows that great products and green values can coexist,1
We stand for sustainability and every product reflects our care for the natural world,1
Our eco range is proof that you can be kind to your skin and kind to the planet,1
We create products that nourish people and protect the planet through green innovation,1
We reduced scope 1 emissions by 42 percent since 2019 verified by independent auditor,0
Our ingredient traceability program covers 95 percent of raw materials by volume verified,0
Third-party lifecycle assessment confirmed 38 percent lower carbon footprint versus 2018 baseline,0
Supplier code of conduct covers environmental standards audited annually by Bureau Veritas,0
We achieved plastic neutrality in 2022 certified by Plastic Bank independent verification,0
Our biodegradability rate of 94 percent confirmed by independent lab test per OECD 301B,0
Zero deforestation commitment verified by Rainforest Alliance across all palm oil supply chains,0
Energy audit conducted by certified assessor confirmed 28 percent reduction in site intensity,0
Third-party social and environmental audit completed at all tier one supplier sites in 2023,0
Our environmental management system recertified to ISO 14001 standard in 2023 by SGS,0
Water stewardship program achieved Alliance for Water Stewardship certification at 3 sites,0
We publish full ingredient disclosure with safety data verified by independent toxicologist,0
Our carbon offset projects verified to Gold Standard methodology totalling 12000 tonnes annually,0
Recycled content independently verified at 78 percent post-consumer material by Recyclass,0
Biodiversity impact assessment conducted by independent ecologist across all sourcing regions,0
Our products are 100 percent natural containing methylparaben propylparaben and synthetic fragrance,1
We care about the planet but our formula uses SLS sodium lauryl sulfate and artificial dyes,1
Eco-friendly product made with love containing petroleum jelly mineral oil and synthetic colors,1
Our green shampoo is kind to earth but contains dimethicone silicone and phenoxyethanol,1
Natural and sustainable formula using phthalates diethyl phthalate and cocamide DEA inside,1
We are committed to green living but our lotion contains oxybenzone and octinoxate chemicals,1
Our eco baby wash is gentle on earth yet contains triclosan and artificial fragrance synthetic,1
Planet-friendly cleaning product containing phosphates chlorine bleach and synthetic brighteners inside,1
We reduced chemicals by 20 percent but our product still contains parabens and SLS harmful,1
Our sustainable cream uses 30 percent natural ingredients alongside petroleum jelly and phthalates,1
Green certified shampoo containing microbeads polyethylene and synthetic fragrance artificial dyes,1
Our eco body wash uses 50 percent plant ingredients but also SLS SLES and mineral oil,1
Natural label product with 40 percent organic claims yet contains formaldehyde releasing preservatives,1
We love the planet but our formula contains bisphenol BPA triclocarban and synthetic musks,1
Our green moisturizer is eco-conscious yet uses coal tar dyes talc and aluminum chlorohydrate,1
Formula verified by Ecocert containing aloe vera certified organic chamomile and plant emulsifiers,0
COSMOS certified shampoo with coconut-derived surfactants zero synthetic preservatives plant origin,0
Our moisturizer is USDA Organic certified with full ingredient transparency published independently,0
Independently verified by Intertek confirming zero parabens zero sulfates in complete formula,0
B Corp certified brand with all ingredients traceable to verified sustainable supplier network,0
Our formula is EWG verified with full safety data sheet published for every single ingredient,0
Leaping Bunny certified with plant-based jojoba rosehip argan oils no animal testing ever,0
Oeko-Tex certified fabric treatment using only approved substances verified at independent lab,0
Rainforest Alliance certified shea butter fair trade coconut oil sustainably sourced ingredient list,0
Our serum is COSMOS natural certified with plant squalane bakuchiol zero synthetic ingredients,0
Carbon Trust certified product with lifecycle assessment confirming lower impact than category average,0
FSC certified packaging with full chain of custody documentation available from certified body,0
GOTS certified organic clothing with supply chain transparency report published on company website,0
Science Based Targets approved roadmap with annual third-party verification of progress reported,0
Our soap is certified by Natural Products Association with full biodegradability testing documented,0